SimTime;SentPk;RcvdPk;LostPk;PacketLoss
290;49;44;5;10.2041
301;54;52;2;3.7037
302;54;51;3;5.55556
303;51;49;2;3.92157
304;53;47;6;11.3208
305;51;46;5;9.80392
306;51;57;-6;-11.7647
307;50;46;4;8
308;50;47;3;6
309;50;47;3;6
310;52;49;3;5.76923
311;51;46;5;9.80392
312;49;47;2;4.08163
313;49;46;3;6.12245
314;47;44;3;6.38298
315;45;46;-1;-2.22222
316;45;45;0;0
317;44;42;2;4.54545
318;42;41;1;2.38095
319;42;40;2;4.7619
320;42;40;2;4.7619
321;41;40;1;2.43902
322;42;38;4;9.52381
323;42;39;3;7.14286
324;40;38;2;5
325;41;36;5;12.1951
326;41;36;5;12.1951
327;41;36;5;12.1951
328;41;36;5;12.1951
329;44;38;6;13.6364
330;45;45;0;0
331;43;42;1;2.32558
332;44;41;3;6.81818
333;44;41;3;6.81818
334;44;39;5;11.3636
335;45;40;5;11.1111
344;54;43;11;20.3704
345;53;41;12;22.6415
346;51;45;6;11.7647
347;52;41;11;21.1538
348;51;42;9;17.6471
349;52;47;5;9.61538
350;51;45;6;11.7647
351;51;47;4;7.84314
352;49;45;4;8.16327
353;49;42;7;14.2857
354;48;41;7;14.5833
355;50;44;6;12
356;50;46;4;8
357;50;44;6;12
358;50;42;8;16
359;51;44;7;13.7255
366;50;56;-6;-12
367;50;47;3;6
368;50;47;3;6
369;51;48;3;5.88235
370;50;45;5;10
371;54;50;4;7.40741
372;54;50;4;7.40741
373;55;51;4;7.27273
374;55;49;6;10.9091
375;56;51;5;8.92857
376;57;52;5;8.77193
377;56;49;7;12.5
378;58;58;0;0
379;56;53;3;5.35714
380;59;53;6;10.1695
381;60;57;3;5
382;59;53;6;10.1695
383;60;57;3;5
384;59;55;4;6.77966
385;60;56;4;6.66667
393;59;60;-1;-1.69492
394;59;56;3;5.08475
395;56;55;1;1.78571
396;58;53;5;8.62069
397;57;53;4;7.01754
398;59;56;3;5.08475
399;59;53;6;10.1695
400;60;54;6;10
411;59;63;-4;-6.77966
412;59;57;2;3.38983
413;56;59;-3;-5.35714
414;57;54;3;5.26316
415;54;52;2;3.7037
416;56;52;4;7.14286
417;55;52;3;5.45455
418;55;50;5;9.09091
419;53;48;5;9.43396
420;50;48;2;4
421;51;46;5;9.80392
422;50;44;6;12
423;49;43;6;12.2449
424;48;45;3;6.25
425;48;45;3;6.25
426;47;46;1;2.12766
427;47;45;2;4.25532
428;48;44;4;8.33333
429;48;47;1;2.08333
430;47;43;4;8.51064
431;49;46;3;6.12245
432;48;43;5;10.4167
433;49;45;4;8.16327
434;50;46;4;8
435;50;46;4;8
436;51;46;5;9.80392
437;51;46;5;9.80392
438;51;51;0;0
439;52;50;2;3.84615
440;52;48;4;7.69231
441;54;48;6;11.1111
442;54;52;2;3.7037
443;54;50;4;7.40741
452;62;56;6;9.67742
453;65;57;8;12.3077
454;63;57;6;9.52381
455;63;57;6;9.52381
456;64;59;5;7.8125
457;64;61;3;4.6875
458;62;62;0;0
459;61;58;3;4.91803
460;60;57;3;5
461;60;56;4;6.66667
462;58;55;3;5.17241
463;56;56;0;0
464;55;53;2;3.63636
465;54;52;2;3.7037
466;53;50;3;5.66038
467;54;50;4;7.40741
468;55;49;6;10.9091
475;54;54;0;0
476;54;49;5;9.25926
477;54;55;-1;-1.85185
478;55;51;4;7.27273
479;55;50;5;9.09091
480;55;50;5;9.09091
481;55;51;4;7.27273
482;55;55;0;0
483;54;55;-1;-1.85185
484;53;51;2;3.77358
485;52;50;2;3.84615
486;53;48;5;9.43396
487;52;50;2;3.84615
488;52;48;4;7.69231
489;51;48;3;5.88235
490;52;50;2;3.84615
491;53;50;3;5.66038
492;54;56;-2;-3.7037
493;57;53;4;7.01754
494;56;52;4;7.14286
504;61;59;2;3.27869
505;61;59;2;3.27869
506;58;59;-1;-1.72414
507;58;55;3;5.17241
508;55;53;2;3.63636
509;55;53;2;3.63636
510;53;52;1;1.88679
511;52;53;-1;-1.92308
512;50;48;2;4
513;49;48;1;2.04082
514;48;46;2;4.16667
515;47;45;2;4.25532
516;46;48;-2;-4.34783
517;45;43;2;4.44444
518;44;43;1;2.27273
519;44;41;3;6.81818
520;42;39;3;7.14286
521;42;37;5;11.9048
522;42;38;4;9.52381
523;42;36;6;14.2857
524;41;40;1;2.43902
525;40;35;5;12.5
526;41;37;4;9.7561
527;40;36;4;10
528;39;37;2;5.12821
529;38;39;-1;-2.63158
530;38;36;2;5.26316
531;39;37;2;5.12821
532;2;3;-1;-50
533;38;37;1;2.63158
534;37;34;3;8.10811
543;43;37;6;13.9535
544;43;43;0;0
