SimTime;SentPk;RcvdPk;LostPk;PacketLoss
820;59;56;3;5.08475
821;56;51;5;8.92857
822;56;53;3;5.35714
823;54;50;4;7.40741
824;55;52;3;5.45455
825;53;49;4;7.54717
826;52;49;3;5.76923
827;51;48;3;5.88235
828;51;47;4;7.84314
829;53;47;6;11.3208
830;52;46;6;11.5385
831;53;48;5;9.43396
832;53;45;8;15.0943
833;54;48;6;11.1111
834;55;48;7;12.7273
835;58;50;8;13.7931
836;57;54;3;5.26316
837;56;49;7;12.5
838;56;52;4;7.14286
839;58;51;7;12.069
840;58;52;6;10.3448
841;58;54;4;6.89655
847;64;67;-3;-4.6875
848;64;66;-2;-3.125
849;64;61;3;4.6875
850;64;60;4;6.25
851;65;62;3;4.61538
852;63;61;2;3.1746
853;63;60;3;4.7619
854;63;61;2;3.1746
855;64;61;3;4.6875
863;67;65;2;2.98507
864;66;63;3;4.54545
865;64;63;1;1.5625
866;66;60;6;9.09091
867;64;57;7;10.9375
868;64;62;2;3.125
869;63;61;2;3.1746
870;64;61;3;4.6875
881;66;66;0;0
882;65;62;3;4.61538
883;65;61;4;6.15385
884;66;63;3;4.54545
885;64;59;5;7.8125
886;67;62;5;7.46269
887;66;57;9;13.6364
888;67;60;7;10.4478
889;65;57;8;12.3077
890;66;57;9;13.6364
891;66;55;11;16.6667
892;66;59;7;10.6061
893;67;57;10;14.9254
894;66;57;9;13.6364
895;65;59;6;9.23077
896;65;55;10;15.3846
897;66;59;7;10.6061
898;70;67;3;4.28571
899;69;62;7;10.1449
900;68;60;8;11.7647
901;68;59;9;13.2353
902;2;6;-4;-200
903;69;64;5;7.24638
912;80;67;13;16.25
913;82;73;9;10.9756
914;82;74;8;9.7561
915;82;75;7;8.53659
916;80;74;6;7.5
917;80;72;8;10
918;78;70;8;10.2564
919;77;69;8;10.3896
920;75;67;8;10.6667
921;76;69;7;9.21053
922;75;68;7;9.33333
923;75;71;4;5.33333
924;72;67;5;6.94444
925;73;67;6;8.21918
926;71;64;7;9.85915
927;70;66;4;5.71429
928;69;65;4;5.7971
929;67;60;7;10.4478
930;67;62;5;7.46269
931;67;58;9;13.4328
932;65;60;5;7.69231
933;65;60;5;7.69231
934;65;61;4;6.15385
935;64;58;6;9.375
936;65;56;9;13.8462
937;66;56;10;15.1515
944;68;75;-7;-10.2941
945;67;65;2;2.98507
946;68;62;6;8.82353
947;69;64;5;7.24638
948;68;62;6;8.82353
949;68;63;5;7.35294
950;67;61;6;8.95522
951;67;64;3;4.47761
952;67;62;5;7.46269
953;68;65;3;4.41176
954;69;62;7;10.1449
955;68;65;3;4.41176
956;69;63;6;8.69565
957;67;64;3;4.47761
958;66;62;4;6.06061
959;68;63;5;7.35294
960;70;62;8;11.4286
961;69;61;8;11.5942
962;70;63;7;10
963;69;62;7;10.1449
964;70;64;6;8.57143
965;69;66;3;4.34783
966;68;65;3;4.41176
967;67;64;3;4.47761
968;65;63;2;3.07692
976;66;62;4;6.06061
977;65;58;7;10.7692
978;66;63;3;4.54545
979;67;61;6;8.95522
980;66;63;3;4.54545
981;70;62;8;11.4286
982;70;64;6;8.57143
983;72;63;9;12.5
994;79;72;7;8.86076
995;82;73;9;10.9756
996;80;70;10;12.5
997;81;73;8;9.87654
998;79;71;8;10.1266
999;80;78;2;2.5
1000;78;69;9;11.5385
1001;77;69;8;10.3896
1002;75;68;7;9.33333
1003;77;69;8;10.3896
1004;74;67;7;9.45946
1005;74;65;9;12.1622
1006;73;65;8;10.9589
